MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod/Add,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
5,5,75.0,10000,1,1,0,3,0,0,0,8,2,2,0,5,6,5,1993,1994,1,0,6,6,3,0,3,3,2,4,3,1,1,0,1,0,763,763,1,4,1,4,763,892,0,1655,0,0,2,1,3,1,3,7,8,1,3,1,1993,3,2,440,3,3,2,157,84,0,0,0,0,0,0,1,0,4,2010,9,4,175900
0,5,64.0,7980,1,1,0,3,0,4,0,8,2,2,0,2,6,7,1992,2007,1,0,6,6,3,0,3,4,2,4,3,1,5,935,1,0,233,1168,1,5,1,4,1187,0,0,1187,1,0,2,0,3,1,3,6,8,0,0,1,1992,3,2,420,3,3,2,483,21,0,0,0,0,0,4,3,500,3,2010,9,4,185000
5,5,63.0,8402,1,1,0,3,0,4,0,8,2,2,0,5,6,5,1998,1998,1,0,13,14,3,0,3,3,2,4,3,1,1,0,1,0,789,789,1,4,1,4,789,676,0,1465,0,0,2,1,3,1,3,7,8,1,4,1,1998,3,2,393,3,3,2,0,75,0,0,0,0,0,0,1,0,5,2010,9,4,180400
0,5,85.0,10176,1,1,3,3,0,4,0,8,2,2,0,2,7,5,1990,1990,1,0,6,6,3,0,3,3,2,4,3,4,6,637,1,0,663,1300,1,4,1,4,1341,0,0,1341,1,0,1,1,2,1,4,5,8,1,1,1,1990,1,2,506,3,3,2,192,0,0,0,0,0,0,0,1,0,2,2010,9,4,171500
11,5,60.0,6820,1,1,0,3,0,0,0,25,2,2,4,2,8,5,1985,1985,1,0,6,6,3,0,4,3,2,4,3,3,6,368,4,1120,0,1488,1,3,1,4,1502,0,0,1502,1,0,1,1,1,1,4,4,8,0,0,1,1985,2,2,528,3,3,2,0,54,0,0,140,0,0,0,1,0,6,2010,9,4,212000
5,5,47.0,53504,1,1,1,1,0,1,1,25,2,2,0,5,8,5,2003,2003,3,0,5,16,1,603,5,3,2,4,3,4,5,1416,1,0,234,1650,1,5,1,4,1690,1589,0,3279,1,0,3,1,4,1,5,12,5,1,4,3,2003,3,3,841,3,3,2,503,36,0,0,210,0,0,0,1,0,6,2010,9,4,538000
4,5,152.0,12134,1,1,0,0,0,4,1,8,2,2,0,0,8,7,1988,2005,1,0,14,15,3,0,4,3,5,4,3,3,6,427,1,0,132,559,1,4,1,4,1080,672,0,1752,0,0,2,0,4,1,3,8,8,0,0,2,1988,2,2,492,3,3,2,325,12,0,0,0,0,0,0,1,0,6,2010,9,4,164000
0,5,88.0,11394,1,1,3,3,0,0,0,25,2,2,0,2,9,2,2010,2010,3,0,13,14,4,350,4,3,2,5,3,3,6,1445,1,0,411,1856,1,5,1,4,1856,0,0,1856,1,0,1,1,1,1,5,8,8,1,5,1,2010,3,3,834,3,3,2,113,0,0,0,0,0,0,0,1,0,6,2010,6,5,394432
0,5,140.0,19138,1,1,3,3,0,0,0,8,2,2,0,2,4,5,1951,1951,1,0,13,14,3,0,3,3,1,3,3,1,2,120,1,0,744,864,1,5,1,4,864,0,0,864,0,0,1,0,2,1,3,4,8,0,0,5,1951,1,2,400,3,3,2,0,0,0,0,0,0,0,0,1,0,6,2010,9,4,141000
0,5,85.0,13175,1,1,3,3,0,4,0,17,2,2,0,2,6,6,1978,1988,1,0,9,10,4,119,3,3,1,4,3,1,5,790,3,163,589,1542,1,3,1,4,2073,0,0,2073,1,0,2,0,3,1,3,7,7,2,3,1,1978,1,2,500,3,3,2,349,0,0,0,0,0,0,3,1,0,2,2010,9,4,210000
0,5,105.0,11751,1,1,0,3,0,4,0,17,2,2,0,2,6,6,1977,1977,3,0,9,10,1,480,3,3,1,4,3,1,4,705,1,0,1139,1844,1,5,1,4,1844,0,0,1844,0,0,2,0,3,1,3,7,8,1,3,1,1977,2,2,546,3,3,2,0,122,0,0,0,0,0,3,1,0,1,2010,0,4,190000
9,5,85.0,10625,1,1,3,3,0,4,0,17,2,2,0,6,7,6,1974,1974,1,0,9,10,1,81,3,3,1,4,3,4,6,885,2,168,0,1053,1,3,1,4,1173,0,0,1173,1,0,2,0,3,1,4,6,8,2,3,1,1974,2,2,528,3,3,2,0,120,0,0,0,0,0,3,1,0,1,2010,9,3,170000
5,2,72.5,7500,1,1,3,3,0,4,0,24,2,2,0,5,7,5,2000,2000,1,0,13,14,3,0,4,3,2,4,3,1,6,533,1,0,281,814,1,5,1,4,814,860,0,1674,1,0,2,1,3,1,4,7,8,0,0,1,2000,2,2,663,3,3,2,0,96,0,0,0,0,0,0,1,0,1,2010,9,4,216000
0,5,73.0,11241,1,1,0,3,0,1,0,15,2,2,0,2,6,7,1970,1970,1,0,14,15,1,180,3,3,1,3,3,1,5,578,1,0,426,1004,1,5,1,4,1004,0,0,1004,1,0,1,0,2,1,3,5,8,1,3,1,1970,3,2,480,3,3,2,0,0,0,0,0,0,0,0,3,700,3,2010,9,4,149000
0,5,73.0,12537,1,1,0,3,0,1,0,15,2,2,0,2,5,6,1971,2008,1,0,13,14,3,0,3,3,1,3,3,1,6,734,1,0,344,1078,1,5,1,4,1078,0,0,1078,1,0,1,1,3,1,3,6,8,1,2,1,1971,3,2,500,3,3,2,0,0,0,0,0,0,0,0,1,0,4,2010,9,4,149900
0,5,65.0,8450,1,1,3,3,0,4,0,15,2,2,0,2,5,6,1968,1968,1,0,13,14,3,0,3,3,1,3,3,1,4,775,1,0,281,1056,1,5,1,4,1056,0,0,1056,1,0,1,0,3,1,3,6,8,1,2,1,1968,1,1,304,3,3,2,0,85,184,0,0,0,0,0,1,0,7,2010,9,4,142000
0,5,70.0,8400,1,1,3,3,0,0,0,15,2,2,0,2,4,5,1970,1970,1,0,9,10,3,0,3,3,1,3,3,1,5,804,3,78,0,882,1,3,1,4,882,0,0,882,1,0,1,0,2,1,3,4,8,0,0,1,1970,3,2,525,3,3,2,240,0,0,0,0,0,0,3,1,0,4,2010,9,4,126000
0,5,70.0,10500,1,1,3,3,0,2,0,15,2,2,0,2,4,5,1971,1971,1,0,6,6,3,0,3,3,1,3,3,1,5,432,1,0,432,864,1,3,1,4,864,0,0,864,0,0,1,0,3,1,3,5,8,1,1,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,2010,4,4,115000
11,4,26.0,5858,1,1,0,3,0,2,0,15,2,2,4,2,7,5,1999,1999,1,0,8,8,3,0,4,3,2,4,3,1,6,1051,4,0,354,1405,1,5,1,4,1337,0,0,1337,1,0,2,0,2,1,4,5,8,1,2,1,1999,3,2,511,3,3,2,203,68,0,0,0,0,0,0,1,0,6,2010,9,4,184000
13,6,21.0,1680,1,1,3,3,0,4,0,2,2,2,3,5,6,5,1971,1971,1,0,6,6,1,504,3,3,1,3,3,1,3,156,1,0,327,483,1,3,1,4,483,504,0,987,0,0,1,1,2,1,3,5,8,0,0,5,1971,1,1,264,3,3,2,275,0,0,0,0,0,0,0,1,0,2,2010,0,4,96000
13,6,21.0,1680,1,1,3,3,0,4,0,2,2,2,3,5,5,5,1971,1971,1,0,6,6,1,492,3,3,1,3,3,1,3,300,1,0,225,525,1,3,1,4,525,567,0,1092,0,0,1,1,3,1,3,6,8,0,0,5,1997,1,1,320,3,3,2,0,0,0,0,0,0,0,0,1,0,3,2010,9,4,105500
13,6,21.0,1680,1,1,3,3,0,4,0,2,2,2,3,5,6,5,1971,1971,1,0,6,7,1,381,3,3,1,3,3,1,1,0,1,0,525,525,1,3,1,4,525,567,0,1092,0,0,1,1,3,1,3,6,8,0,0,5,1971,1,1,264,3,3,2,0,0,0,0,0,0,0,0,1,0,3,2010,9,3,88000
11,5,53.0,4043,1,1,3,3,0,4,0,16,2,2,4,2,6,5,1977,1977,1,0,9,10,3,0,3,3,1,4,3,1,5,360,1,0,709,1069,1,3,1,4,1069,0,0,1069,0,0,2,0,2,1,3,4,8,1,2,1,1977,2,2,440,3,3,2,0,55,0,0,165,0,0,0,1,0,7,2010,9,4,127500
13,5,24.0,2280,1,1,3,3,0,2,0,16,2,2,3,5,6,6,1975,1975,1,0,9,2,3,0,3,3,1,3,3,1,5,514,1,0,341,855,1,3,1,4,855,601,0,1456,0,0,2,1,3,1,4,6,8,1,3,1,1975,1,2,440,3,3,2,173,0,0,0,0,0,0,0,1,0,6,2010,9,4,149900
11,5,24.0,2280,1,1,3,3,0,2,0,16,2,2,3,2,7,6,1975,1975,1,0,9,2,3,0,3,3,1,4,3,1,1,0,1,0,836,836,1,5,1,4,836,0,0,836,0,0,1,0,2,1,3,4,8,0,0,1,1975,1,1,308,3,3,2,0,30,0,0,0,0,0,0,1,0,6,2010,9,4,120000
13,5,24.0,2280,1,1,3,3,0,4,0,16,2,2,3,5,6,5,1978,1978,1,0,9,2,3,0,3,3,1,4,3,1,5,311,1,0,544,855,1,2,1,4,855,601,0,1456,0,0,2,1,3,1,3,7,8,1,3,1,1978,1,2,440,3,3,2,26,0,0,0,0,0,0,0,1,0,7,2010,9,4,146000
5,5,102.0,12858,1,1,0,3,0,4,0,19,2,2,0,5,9,5,2009,2010,1,0,13,14,4,162,5,3,2,5,3,1,1,0,1,0,1590,1590,1,5,1,4,1627,707,0,2334,0,0,2,1,3,1,5,10,8,1,4,1,2009,3,3,751,3,3,2,144,133,0,0,0,0,0,0,1,0,1,2010,6,5,376162
0,5,98.0,11478,1,1,3,3,0,4,0,19,2,2,0,2,8,5,2007,2008,1,0,13,14,4,200,4,3,2,5,3,1,6,1218,1,0,486,1704,1,5,1,4,1704,0,0,1704,1,0,2,0,3,1,4,7,8,1,4,1,2008,2,3,772,3,3,2,0,50,0,0,0,0,0,0,1,0,5,2010,9,4,306000
0,5,83.0,10159,1,1,0,3,0,4,0,19,2,2,0,2,9,5,2009,2010,3,0,13,14,4,450,5,3,2,5,3,3,6,1646,1,0,284,1930,1,5,1,4,1940,0,0,1940,1,0,2,1,3,1,5,8,8,1,4,1,2010,3,3,606,3,3,2,168,95,0,0,0,0,0,0,1,0,4,2010,6,5,395192
0,5,94.0,12883,1,1,0,3,0,0,0,19,2,2,0,2,8,5,2009,2010,1,0,13,14,4,256,4,3,2,4,3,1,1,0,1,0,1544,1544,1,5,1,4,1544,0,0,1544,0,0,2,0,3,1,4,7,8,0,0,1,2009,2,3,868,3,3,2,0,35,0,0,0,0,0,0,1,0,6,2010,6,5,290941
0,5,95.0,12182,1,1,3,3,0,0,0,19,2,2,0,2,7,5,2005,2005,1,0,13,14,1,226,4,3,2,4,3,2,4,1201,1,0,340,1541,1,5,1,4,1541,0,0,1541,0,0,2,0,3,1,4,7,8,1,4,1,2005,2,2,532,3,3,2,0,70,0,0,0,0,0,0,1,0,5,2010,6,5,220000
0,5,90.0,11520,1,1,3,3,0,4,0,19,4,2,0,2,9,5,2005,2005,3,0,13,14,1,615,4,3,2,5,3,1,6,110,1,0,1588,1698,1,5,1,4,1698,0,0,1698,0,0,2,0,3,1,5,7,8,1,4,1,2005,3,3,730,3,3,2,192,74,0,0,0,0,0,0,1,0,6,2010,9,4,275000
0,5,79.0,14122,1,1,0,3,0,4,0,19,2,2,0,2,8,5,2005,2006,3,0,5,5,1,240,4,3,2,5,3,1,6,28,1,0,1794,1822,1,5,1,4,1822,0,0,1822,0,0,2,0,3,1,5,8,8,1,4,1,2005,2,3,678,3,3,2,0,119,0,0,0,0,0,0,1,0,2,2010,9,4,259000
0,5,70.0,10171,1,1,0,3,0,4,0,19,2,2,0,2,7,5,2004,2004,1,0,13,14,1,168,4,3,2,4,3,1,6,2,1,0,1515,1517,1,5,1,4,1535,0,0,1535,0,0,2,0,3,1,4,7,8,0,0,1,2004,2,2,532,3,3,2,0,0,0,0,0,0,0,0,1,0,3,2010,9,4,214000
0,5,100.0,12919,1,1,0,3,0,4,0,19,2,2,0,2,9,5,2009,2010,3,0,13,14,4,760,5,3,2,5,3,4,6,2188,1,0,142,2330,1,5,1,4,2364,0,0,2364,1,0,2,1,2,1,5,11,8,2,4,1,2009,3,3,820,3,3,2,0,67,0,0,0,0,0,0,1,0,3,2010,6,5,611657
11,5,44.0,6371,1,1,0,3,0,4,0,19,2,2,4,2,7,5,2009,2010,1,0,13,14,4,128,4,3,2,4,3,2,6,733,1,0,625,1358,1,5,1,4,1358,0,0,1358,1,0,2,0,2,1,4,6,8,1,4,1,2010,2,2,484,3,3,2,192,35,0,0,0,0,0,0,1,0,6,2010,6,5,224000
0,5,110.0,14300,1,1,3,1,0,4,1,19,2,2,0,2,9,5,2003,2004,3,0,13,14,1,1095,5,3,2,5,3,4,6,1373,1,0,1473,2846,1,5,1,4,2696,0,0,2696,1,0,2,1,3,1,5,10,8,2,4,1,2003,3,3,958,3,3,2,220,150,0,0,0,0,0,0,1,0,6,2010,9,4,500000
5,5,105.0,13650,1,1,3,3,0,0,0,19,2,2,0,5,8,5,2002,2002,1,0,13,14,1,232,4,3,2,4,3,4,6,578,1,0,1093,1671,1,5,1,4,1687,563,0,2250,1,0,2,1,3,1,4,7,8,1,5,1,2002,3,3,756,3,3,2,238,130,0,0,0,0,0,0,1,0,6,2010,9,4,320000
11,5,61.0,7658,1,1,3,3,0,4,0,19,2,2,4,2,9,5,2005,2005,3,0,8,8,1,412,5,3,2,5,3,1,6,456,1,0,1296,1752,1,5,1,4,1752,0,0,1752,1,0,2,0,2,1,5,6,8,1,4,1,2005,2,2,576,3,3,2,196,82,0,0,0,0,0,0,1,0,2,2010,9,4,319900
11,5,41.0,7132,1,1,0,3,0,4,0,19,2,2,4,2,8,5,2006,2006,1,0,13,14,4,178,4,3,2,4,3,2,6,24,1,0,1346,1370,1,5,1,4,1370,0,0,1370,0,0,2,0,2,1,4,6,8,1,4,1,2006,2,2,484,3,3,2,120,49,0,0,0,0,0,0,1,0,4,2010,9,4,205000
13,5,36.0,2628,1,1,3,3,0,4,0,19,2,2,3,5,7,5,2003,2003,1,0,13,16,4,106,4,3,2,4,3,1,1,0,1,0,764,764,1,5,1,4,764,862,0,1626,0,0,2,1,2,1,4,6,8,0,0,3,2003,2,2,474,3,3,2,0,27,0,0,0,0,0,0,1,0,6,2010,9,4,175500
0,5,100.0,18494,1,1,0,3,0,0,0,8,2,2,0,2,6,5,2005,2005,1,0,13,14,3,0,4,3,2,4,3,1,1,0,1,0,1324,1324,1,5,1,4,1324,0,0,1324,0,0,2,0,3,1,4,6,8,0,0,1,2005,3,2,430,3,3,2,36,23,0,0,0,0,0,0,1,0,1,2010,9,4,199500
11,5,43.0,3203,1,1,3,3,0,4,0,0,2,2,4,2,7,5,2006,2006,1,0,13,14,1,14,4,3,2,4,3,3,6,16,1,0,1129,1145,1,5,1,4,1145,0,0,1145,0,0,2,0,2,1,4,6,8,0,0,1,2006,3,2,437,3,3,2,100,116,0,0,0,0,0,0,1,0,1,2010,9,4,160000
11,5,43.0,3182,1,1,3,3,0,4,0,0,2,2,4,2,8,5,2004,2005,1,0,13,14,1,16,4,3,2,4,3,1,6,24,1,0,1232,1256,1,5,1,4,1269,0,0,1269,0,0,2,0,2,1,4,6,8,1,3,1,2004,3,2,430,3,3,2,146,20,0,0,144,0,0,0,1,0,4,2010,9,4,192000
8,5,67.0,13300,1,1,0,3,0,4,0,8,2,2,0,7,7,5,2004,2004,1,0,13,14,3,0,4,3,2,4,3,1,6,326,1,0,58,384,1,5,1,4,744,630,0,1374,1,0,2,1,3,1,4,7,8,1,4,3,2004,3,2,400,3,3,2,100,0,0,0,0,0,0,0,1,0,6,2010,9,4,184500
5,5,64.0,7851,1,1,3,3,0,4,0,8,2,2,0,5,6,5,2002,2002,1,0,13,14,3,0,4,3,2,4,3,1,6,625,1,0,235,860,1,5,1,4,860,1100,0,1960,1,0,2,1,4,1,4,8,8,2,3,3,2002,3,2,440,3,3,2,288,48,0,0,0,0,0,0,1,0,5,2010,9,4,216500
5,5,63.0,8577,1,1,0,3,0,4,0,8,2,2,0,5,7,5,2004,2004,1,0,13,14,3,0,4,3,2,4,3,1,1,0,1,0,847,847,1,5,1,4,847,886,0,1733,0,0,2,1,3,1,4,7,8,1,4,3,2004,3,2,433,3,3,2,144,48,0,0,0,0,0,0,1,0,4,2010,9,4,185088
8,5,64.0,7750,1,1,0,3,0,4,0,8,2,2,0,7,7,5,2000,2000,1,0,13,14,3,0,3,3,2,4,3,1,6,250,1,0,134,384,1,5,1,4,774,656,0,1430,0,0,2,1,3,1,3,7,8,1,3,3,2000,3,2,400,3,3,2,180,0,0,0,0,0,0,0,1,0,4,2010,9,4,180000
5,5,64.0,9505,1,1,0,3,0,1,0,8,2,2,0,5,7,5,2001,2001,1,0,13,14,1,180,4,3,2,4,3,1,1,0,1,0,884,884,1,5,1,4,884,1151,0,2035,0,0,2,1,3,1,4,8,8,1,4,3,2001,3,2,434,3,3,2,144,48,0,0,0,0,0,0,1,0,5,2010,9,4,222500
5,5,108.0,14774,1,1,0,3,0,0,0,18,2,2,0,5,9,5,1999,1999,1,0,13,14,1,165,4,3,2,4,3,1,1,0,1,0,1393,1393,1,5,1,4,1422,1177,0,2599,0,0,2,1,4,1,4,10,8,1,3,3,1999,3,3,779,3,3,2,668,30,0,0,0,0,0,0,1,0,5,2010,9,4,333168
5,5,60.0,17433,1,1,1,3,0,1,0,18,2,2,0,5,8,5,1998,1998,3,0,13,14,1,114,4,3,2,5,3,1,1,0,1,0,1629,1629,1,5,1,4,1645,830,0,2475,0,0,2,1,4,1,4,7,8,1,3,1,1998,3,3,962,3,3,2,23,172,0,0,256,0,0,0,1,0,1,2010,9,4,355000
0,5,59.0,10593,1,1,0,3,0,4,0,18,2,2,0,2,7,5,1996,1996,3,0,13,14,1,338,4,3,2,4,3,1,6,919,1,0,801,1720,1,5,1,4,1720,0,0,1720,1,0,2,0,3,1,4,7,8,1,3,1,1996,3,2,527,3,3,2,240,56,154,0,0,0,0,0,1,0,3,2010,9,4,260400
5,5,98.0,12256,1,1,0,3,0,0,0,18,2,2,0,5,8,5,1994,1995,1,0,6,6,1,362,4,3,2,5,3,3,6,1032,1,0,431,1463,1,5,1,4,1500,1122,0,2622,1,0,2,1,3,1,4,9,8,2,3,1,1994,2,2,712,3,3,2,186,32,0,0,0,0,0,0,1,0,4,2010,9,4,325000
5,5,92.0,11764,1,1,0,3,0,1,0,18,2,2,0,5,8,7,1999,2007,1,0,13,14,1,348,4,3,2,4,3,1,6,524,1,0,628,1152,1,5,1,4,1164,1106,0,2270,0,0,2,1,4,1,4,9,8,1,4,1,1999,3,3,671,3,3,2,132,57,0,0,0,0,0,0,1,0,4,2010,9,4,290000
5,5,58.0,16770,1,1,1,3,0,1,0,18,2,2,0,5,7,5,1998,1998,1,0,13,14,1,30,4,3,2,4,3,1,1,0,1,0,1195,1195,1,4,1,4,1195,644,0,1839,0,0,2,1,4,1,3,7,8,0,0,1,1998,3,2,486,3,3,2,0,81,0,0,0,0,0,0,1,0,6,2010,9,4,221000
4,5,56.0,14720,1,1,0,3,0,1,0,18,2,2,0,0,8,5,1995,1996,3,0,13,14,1,579,4,3,2,4,3,3,6,816,1,0,1217,2033,1,5,1,4,2053,1185,0,3238,1,0,2,1,4,1,4,9,8,1,5,1,1996,3,3,666,3,3,2,283,86,0,0,0,0,0,0,1,0,3,2010,9,4,410000
0,5,73.0,8987,1,1,3,3,0,4,0,24,2,2,0,2,8,5,2005,2006,1,0,13,14,1,226,4,3,2,4,3,1,1,0,1,0,1595,1595,1,5,1,4,1595,0,0,1595,0,0,2,0,2,1,4,6,8,1,4,1,2005,2,3,880,3,3,2,144,0,0,0,0,0,0,0,1,0,5,2010,9,4,221500
0,2,92.0,9215,1,1,3,3,0,4,0,24,2,2,0,2,7,5,2009,2010,3,0,13,14,3,0,4,3,2,4,3,1,1,0,1,0,1218,1218,1,5,1,4,1218,0,0,1218,0,0,2,0,2,1,4,4,8,0,0,1,2009,2,2,676,3,3,2,0,136,0,0,0,0,0,0,1,0,4,2010,6,5,204500
5,2,72.0,8640,1,1,3,3,0,4,0,24,2,2,0,5,7,5,2009,2009,1,0,13,14,3,0,3,3,2,4,3,2,6,24,1,0,732,756,1,5,1,4,764,783,0,1547,0,0,2,1,3,1,4,7,8,0,0,1,2009,1,2,614,3,3,2,169,45,0,0,0,0,0,0,1,0,6,2010,2,4,215200
0,2,75.0,9000,1,1,3,3,0,4,0,24,2,2,0,2,8,5,2008,2008,1,0,13,14,4,36,4,3,2,4,3,3,6,1078,1,0,488,1566,1,5,1,4,1566,0,0,1566,1,0,2,0,3,1,4,7,8,0,0,1,2008,2,2,750,3,3,2,144,168,0,0,0,0,0,0,1,0,4,2010,9,4,262500
5,2,100.0,12552,1,1,3,3,0,0,0,24,2,2,0,5,7,5,2004,2005,1,0,13,14,3,0,4,3,2,4,3,1,6,222,1,0,769,991,1,5,1,4,991,956,0,1947,0,0,2,1,3,1,4,8,8,1,4,1,2004,2,2,678,3,3,2,0,136,0,0,0,0,0,2,1,0,5,2010,9,4,254900
0,2,84.0,10440,1,1,3,3,0,0,0,24,2,2,0,2,6,5,2005,2005,1,0,13,14,3,0,4,3,2,5,3,1,6,1414,1,0,54,1468,1,5,1,4,1468,0,0,1468,1,0,2,0,2,1,4,6,8,1,4,1,2005,3,2,528,3,3,2,0,102,0,0,216,0,0,0,1,0,5,2010,9,4,271500
5,5,76.0,10142,1,1,0,3,0,4,0,23,2,2,0,5,7,5,2004,2004,1,0,13,14,3,0,4,3,2,4,3,1,6,656,1,0,300,956,1,5,1,4,956,1128,0,2084,1,0,2,1,4,1,4,8,8,0,0,3,2004,2,2,618,3,3,2,0,45,0,0,0,0,0,0,1,0,1,2010,9,4,233000
5,5,70.0,11920,1,1,3,3,0,4,0,23,2,2,0,5,7,5,2004,2004,1,0,13,14,1,122,4,3,2,4,3,3,1,0,1,0,831,831,1,5,1,4,831,828,0,1659,0,0,2,1,3,1,4,8,8,0,0,1,2004,2,2,484,3,3,2,144,68,0,0,0,0,0,0,1,0,4,2010,9,4,181000
5,5,67.0,8880,1,1,0,3,0,4,0,23,2,2,0,5,7,5,1994,2002,1,0,13,14,3,0,4,3,2,4,3,1,6,695,1,0,253,948,1,5,1,4,1222,888,0,2110,1,0,2,1,3,1,4,8,8,2,2,1,1994,2,2,463,3,3,2,0,130,0,0,0,0,0,0,1,0,5,2010,9,4,205000
